"id","league_id","home_goals","away_goals","winner","home_gk","home_def","home_mid","home_atk","home_def_count","home_mid_count","home_atk_count","away_gk","away_def","away_mid","away_atk","away_def_count","away_mid_count","away_atk_count"
5204,4769,3,0,"home","very good","very good","very good","good",4,3,3,"very bad","bad","bad","very bad",4,4,2
5319,4769,1,2,"away","very good","very good","good","very good",4,4,2,"bad","good","very bad","bad",4,4,2
5329,4769,2,1,"home","very bad","bad","bad","very bad",4,5,1,"very good","very good","very good","good",4,5,1
5330,4769,1,2,"away","very good","very good","very good","good",4,3,3,"bad","good","bad","very bad",4,4,2
5331,4769,1,0,"home","good","bad","bad","bad",4,4,2,"bad","very bad","very bad","bad",4,3,3
5332,4769,2,0,"home","very good","very good","very good","very good",4,3,3,"good","bad","good","bad",4,4,2
5333,4769,1,0,"home","good","good","good","bad",4,3,3,"very bad","very bad","very bad","very bad",4,5,1
5334,4769,3,1,"home","bad","bad","good","bad",4,3,3,"very good","very good","good","good",4,3,3
5335,4769,0,2,"away","bad","bad","bad","bad",4,3,3,"good","very bad","bad","bad",4,4,2
5336,4769,0,3,"away","bad","good","good","very good",4,4,2,"very good","very good","very good","very good",4,3,3
5337,4769,1,0,"home","good","very good","good","very good",4,5,1,"good","bad","bad","very bad",4,5,1
5338,4769,1,0,"home","good","good","good","bad",4,3,3,"good","good","good","good",4,4,2
5339,4769,1,0,"home","bad","good","bad","bad",4,4,2,"good","good","very bad","bad",4,3,3
5340,4769,1,1,"draw","very good","very good","very good","very good",4,5,1,"bad","bad","good","bad",4,3,3
5341,4769,0,0,"draw","very bad","very bad","bad","very bad",4,3,3,"very good","very good","very good","very good",4,5,1
5342,4769,1,1,"draw","good","bad","bad","very bad",4,5,1,"very bad","bad","bad","bad",4,4,2
5343,4769,1,1,"draw","good","bad","bad","bad",4,5,1,"bad","good","very good","very good",4,4,2
5344,4769,1,1,"draw","very good","very good","very good","very good",4,3,3,"good","bad","bad","bad",4,4,2
5345,4769,2,3,"away","good","good","good","bad",4,5,1,"bad","bad","bad","bad",4,5,1
5346,4769,1,0,"home","very good","good","good","good",4,3,3,"good","good","good","good",4,5,1
5347,4769,1,1,"draw","good","good","good","bad",4,4,2,"very good","good","good","good",4,3,3
5348,4769,1,0,"home","bad","bad","very bad","bad",4,5,1,"good","good","good","very bad",4,5,1
5349,4769,0,1,"away","very bad","bad","bad","bad",4,4,2,"good","bad","bad","good",4,3,3
5350,4769,1,0,"home","very good","very good","very good","bad",4,3,3,"good","bad","bad","bad",4,4,2
5351,4769,1,0,"home","good","bad","bad","bad",4,4,2,"good","bad","bad","bad",4,5,1
5352,4769,1,1,"draw","very good","very good","very good","very good",4,5,1,"good","good","good","bad",4,4,2
5353,4769,0,0,"draw","good","bad","good","very bad",4,5,1,"very good","very good","good","good",4,5,1
5354,4769,1,1,"draw","bad","bad","good","bad",4,3,3,"bad","good","bad","bad",4,4,2
5355,4769,1,3,"away","bad","bad","bad","very bad",4,3,3,"very bad","bad","very bad","very bad",4,3,3
